placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P519GJF;20/09/2025;SI;SI;NO;NO;172,256;175,256;
P474GXT;22/09/2025;SI;SI;NO;SI;122,643;125,643;
P111JTG;22/09/2025;SI;NO;NO;NO;191,716;194,716;C/A CAJA PROX C/201,716, C/A CATARINAS
P362HXB;22/09/2025;SI;SI;NO;NO;149,598;152,598;C/F CABINA
P865KSF;22/09/2025;SI;NP;NO;SI;292,053;294,053;C/A CAJA, C/A DIFERENCIAL
P852JGZ;22/09/2025;SI;NO;NO;NO;126,439;129,439;
P258GYF;22/09/2025;SI;NO;SI;SI;109,480;114,480;
P975FSS;22/09/2025;SII;NO;NO;NO;161,374;163,374;MECANICA VARIA ORDEN NO. 13233, LAV MOTOR
P602HZZ;23/09/2025;SI;NO;NO;NO;291,106;296,160;
C407BPZ;23/09/2025;SI;SI;NO;NO;42,556;47,556;
P097JXN;23/09/2025;SI;NO;NO;NO;174,885;177,885;
P864HMN;23/09/2025;SI;SI;NO;NO;117,217;122,217;C/F CABINA
P833JHP;23/09/2025;SI;SI;NO;NO;112,563;115,563;
P505LCQ;23/09/2025;SI;NO;NO;NO;129,548;132,548;PLACA/ANT P997HSF, C/AMORT TRASER, C/COJIN TRASER, LAV MOTOR
125GFY;24/09/2025;SI;SI;NO;NO;197,849;200,849;C/A CAJA PROX/C 207,849, C/F CABINA
P597KCZ;24/09/2025;SI;SI;NO;NO;174,293;177,293;C/F CABINA
P959KYG;24/09/2025;SI;SI;NO;NO;71,921;74,921;C/A CAJA PROX/C 81,921,. C/F CABINA, FLUSHING
P566LFN;24/09/2025;SI;SI;NO;NO;164,588;167,588;C/A CAJA PROX/C 174,588., C/F CABINA
P409HVY;24/09/2025;NO;NO;NO;NO;NO;NO;C/MANGUERA HIDRAULICA, REPAR ARNES ELECTRICO
P003GTQ;24/09/2025;SI;SI;NO;NO;176,385;179,385;C/F CABINA, C/CREMALLERA Y TERMINAL DIRECC
