placa;fecha;filtro_aceite;filtro_aire;filtro_diesel;engrase;este_cambio;proximo_cambio;observaciones
P082DXY;15/06/2015;SI;SI;NO;NO;130365;132365;SE HIZO LAVADO DE MOTOR
P493FMK;16/06/2015;SI;NO;NO;NO;127409;129409;
P030FNK;16/06/2015;SI;SI;NO;NO;58748;60748;
P528;;;;;;;;
P528FDP;17/06/2015;SI;NO;NO;SI;147444;149444;SE CAMBIO ACEITE DE CAJA Y CATARINA.
P455CBY;18/06/2015;SI;NO;NO;NO;297972;299972;SE CAMBIARON TERMINALES DE BATERIA
P719FQJ;15/06/2015;SI;SI;NO;NO;181173;183173;SE CAMBIARON CANDELAS
P695DSL;18/06/2015;SI;SI;NO;NO;101328;103328;
P931FQR;18/06/2015;SI;NO;NO;NO;43234;45234;
P523FJC;18/06/2015;SI;SI;NO;NO;140421;142421;
P757FSD;18/06/2015;SI;SI;NO;NO;10249;13249;
P261FTH;19/06/2015;SI;NO;NO;SI;24580;27580;SE HIZO LAVADO DE MOTOR
P878DWB;20/06/2015;SI;SI;SI;SI;167157;172157;
P252DVR;28/02/2015;SI;NO;SI;SI;108761;111761;SE HIZO LAVADO DE MOTOR
P252DVR;20/06/2015;SI;SI;NO;SI;115000;118000;
P490FJL;20/06/2015;SI;SI;NO;NO;97731;99731;
P925CWG;20/06/2015;SI;SI;NO;NO;130058;132058;SE HIZO LAVADO DE MOTOR
P252DRT;20/06/2015;SI;NO;NO;NO;35252;37252;
P812FTY;20/06/2015;SI;NO;NO;NO;182716;184716;
P358FNP;22/06/2015;SI;NO;NO;SI;64968;67968;SE HIZO FLUSHING Y LAVADO DE MOTOR
P871FKJ;23/06/2015;SI;NO;NO;NO;232726;234726;
P927FGT;23/06/2015;SI;NO;NO;NO;93558;95558;
P816FTZ;23/06/2015;SI;NO;NO;NO;104966;106966;
P770FPX;23/06/2015;SI;NO;NO;NO;103726;105726;
P486DCL;24/06/2015;SI;SI;NO;NO;64260;66260;SE CAMBIO REFRIGERANTE
P157FJ;25/06/2015;SI;NO;NO;SI;31607;34607;SE HIZO LAVADO DE MOTOR
P474DNS;26/02/2015;SI;SI;NO;SI;235824;237824;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P474DNS;26/06/2015;SI;NO;NO;SI;238941;240941;
P675DTM;26/06/2015;SI;NO;NO;NO;250775;252775;
P624FTX;26/06/2015;SI;NO;NO;NO;97198;99198;
P951FCV;26/06/2015;SI;SI;NO;SI;78743;81743;
P686CYH;26/06/2015;SI;NO;NO;NO;SOLO FECHA;SOLO FECHA;
P270FPZ;26/06/2015;SI;SI;NO;NO;58742;60742;
P351DDW;26/06/2015;SI;SI;NO;NO;44587;46587;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P422FNK;27/06/2015;SI;SI;NO;NO;107595;109595;
P815DZY;30/06/2015;SI;NO;NO;NO;129955;131955;SE HIZO LAVADO DE MOTOR.
P482FFZ;30/06/2015;SI;NO;NO;SI;69746;72746;
P869CRQ;30/06/2015;SI;SI;NO;NO;108754;110754;
P512FDQ;30/06/2015;SI;NO;NO;NO;120951;122951;
P493DHL;1/07/2015;SI;NO;NO;SI;165082;170082;
P768FKB;20/03/2015;SI;SI;NO;NO;49454;51454;
P768FKB;1/07/2015;SI;NO;NO;NO;51710;53710;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P414DVQ;1/07/2015;SI;SI;NO;SI;194173;197173;SE HIZO LAVADO DE MOTOR
P901FRW;1/07/2015;SI;NO;NO;NO;172500;174500;SE HIZO CAMBIO DE ACEITE A CAJA AUT.
P444FFK;2/07/2015;SI;NO;NO;NO;177093;179093;
C383BMM;3/07/2015;SI;SI;SI;NO;171254;176254;
P594DCZ;3/07/2015;SI;NO;NO;NO;76276;78276;
P523FSG;3/07/2015;SI;NO;NO;NO;15678;18678;
P216CGS;4/07/2015;SI;;SI;SI;206916;209916;
P851FFN;4/07/2015;SI;SI;NO;NO;78779;81779;
P564DFH;6/07/2015;SI;NO;NO;SI;SOLO FECHA;SOLO FECHA;
P564DFH;;;;;;;;
P080DTK;6/07/2015;SI;SI;NO;SI;118324;121324;
P950CDS;6/07/2015;SI;SI;NO;SI;288240;291240;
P118FQT;7/07/2015;SI;NO;NO;NO;91082;93082;
PBK5748;7/07/2015;SI;SI;NO;NO;292413;295413;SE HIZO LAVADO DE MOTOR Y FLUSHING
P227FRX;8/07/2015;SI;NO;NO;SI;370000;372000;
P794FCS;8/07/2015;SI;SI;SI;SI;127190;130190;LAVADO DE MOTOR, FLUSHING
P211CBG;8/07/2015;SI;NO;NO;NO;77102;80102;LAVADO DE MOTOR Y CAMBIO DE REGRIGERANTE.
P329FTY;8/07/2015;SI;NO;NO;NO;99000;101000;
P692FKB;1/12/2014;SI;SI;NO;NO;184201;186201;1 EMPAQUE Y PASTILLAS.
P692FKB;10/07/2015;SI;NO;NO;NO;186351;188351;CAMBIO DE 1 RETENEDOR TRASERO Y PASTILLAS
P208DTX;11/07/2015;SI;NO;SI;SI;129418;134418;
P324CVV;11/07/2015;SI;NO;NO;NO;106077;109077;
P895DRP;13/07/2015;SI;SI;NO;SI;159489;162489;
P628BRD;13/07/2015;SI;SI;NO;SI;229893;232893;
P261FTH;14/07/2015;SI;SI;NO;SI;27536;30536;SE HIZO LAVADO DE MOTOR
P408BDH;15/07/2015;SI;NO;NO;NO;174043;176043;
P629DND;15/07/2015;SI;SI;NO;NO;82423;8442;
P823DZS;15/07/2015;SI;NO;NO;NO;66842;69842;
P059FKZ;15/07/2015;SI;NO;NO;NO;212142;215142;
P912FWT;15/07/2015;SI;NO;NO;NO;100998;102998;CAMBIO DE REGRIGERANTE Y SOLO ACEITE DE CAJA AUT.
P321FPF;16/07/2015;SI;NO;NO;SI;28971;31971;
P871FQD;16/07/2015;SI;NO;NO;NO;90993;93993;
P015DVS;13/07/2015;SI;SI;SI;SI;133206;136206;SE HIZO LAVADO DE MOTOR
P260DPX;17/07/2015;SI;SI;NO;NO;124458;126458;
P951FCV;18/07/2015;SI;NO;NO;SI;82389;87389;
P448FQR;20/07/2015;SI;SI;NO;NO;63422;65422;SE HIZO LAVADO DE MOTOR
P686CYH;21/07/2015;SI;NO;NO;SI;SOLO FECHA;SOLO FECHA;
P133DVG;23/07/2015;SI;SI;NO;NO;108984;110984;
P909FQM;23/07/2015;SI;NO;NO;NO;203354;205354;SE HIZO LAVADO DE MOTOR
P947FQF;24/07/2015;SI;NO;NO;NO;88724;90724;
P113BDJ;24/07/2015;SI;SI;NO;NO;134800;136800;
P157FJV;24/07/2015;SI;NO;NO;SI;34864;39864;
P142FRW;25/07/2015;SI;SI;NO;NO;57319;59319;SE HIZO LAVADO DE MOTOR Y FLUSHING.
P679DBY;25/07/2015;SI;NO;NO;NO;167836;169836;
P815FTZ;27/07/2015;SI;SI;NO;NO;133142;135142;
P775FKD;29/07/2015;SI;NO;SI;SI;20252;23252;
P076BNS;30/07/2015;SI;NO;NO;SI;164416;167416;
P447FWK;30/07/2015;SI;NO;NO;NO;178212;180212;
P447FWK;31/07/2015;;;;;178212;;SE LE HIZO CAMBIO DE ACEITE C/A Y CAMBIO DE PASTILLAS DELANTERAS.
P117FMH;31/07/2015;SI;NO;NO;SI;22139;25139;
P226FTZ;1/08/2015;SI;SI;NO;NO;104222;106222;
P465FDD;1/08/2015;SI;SI;NO;NO;143016;146016;
P539DYQ;1/08/2015;SI;SI;SI;SI;107276;110276;
P191DVX;1/08/2015;SI;NO;NO;NO;124998;126998;
P878DWB;1/08/2015;SI;SI;NO;SI;171282;176282;SE LE HIZO FLUSHING
P414FWF;17/06/2015;SI;SI;NO;NO;116000;118000;
P414FWF;1/08/2015;SI;NO;NO;NO;118214;120214;
P387BJC;1/08/2015;SI;NO;NO;SI;SOLO FECHA;SOLO FECHA;
P793FCS;3/08/2015;SI;NO;NO;SI;55355;58355;SE HIZO FLUSHING
P950CDS;3/08/2015;SI;NO;NO;SI;291286;294286;
P979DWB;4/08/2015;SI;NO;NO;NO;92635;94635;
P220FRX;4/08/2015;SI;NO;NO;NO;76431;78431;
P422BXF;4/08/2015;SI;SI;NO;NO;323499;325499;
P956BMP;4/08/2015;SI;NO;NO;NO;198230;200130;
P257FDK;4/08/2015;SI;SI;SI;SI;98253;103253;SE HIZO LAVADO DE MOTOR
P166BBP;5/08/2015;SI;SI;SI;SI;219942;222942;
