codigo;nombre;costo;stock;stock_minimo;descripcion;type_insumo_id;precio;;;;;
0155;FILTRO ACEITE WL 7508 / FF-OE665-3;51;7;1;;2;85;;;;;
0156;FILTRO DIESEL ABRO 16403-4KV0A;66;5;1;;4;110;;;;;
0157;FILTRO ACEITE 57674 / FF-OE648-6 / 10246;45;8;1;;2;75;;;;;
0158;FILTRO DIESEL FF-PS 985/5 ;138;6;1;;4;230;;;;;
0159;FILTRO ACEITE 57173;60;6;1;;2;100;;;;;
0160;FILTRO ACEITE HK 307 / 1109R6;42;5;1;;2;70;;;;;
0161;FILTRO ACEITE WL 10010;48;4;1;;2;80;;;;;
0162;FILTRO ACEITE P 837;81;3;1;;2;135;;;;;
0163;FILTRO ACEITE 57061;51;3;1;;2;85;;;;;
0164;FILTRO ACEITE LP 2017;75;4;1;;2;125;;;;;
0165;FILTRO ACEITE  51223 / CH 8081;75;8;1;;2;125;;;;;
0166;FILTRO DIESEL MB 433425;60;6;1;;4;100;;;;;
0167;FILTRO ACEITE LFP 784;57;9;1;;2;95;;;;;
0168;FILTRO ACEITE FILTRON FF-OE 688;60;3;1;;2;100;;;;;
0169;FILTRO ACEITE FF-OE 640;48;3;1;;2;80;;;;;
0170;FILTRO DIESEL 33585;69;1;1;;4;115;;;;;
0171;FILTRO ACEITE 57182;84;3;1;;2;140;;;;;
0172;FILTRO ACEITE 57078;54;3;1;;2;90;;;;;
0173;FILTRO ACEITE PCB 9973;39;3;1;;2;65;;;;;
0174;FILTRO ACEITE PLBS 6076;48;3;1;;2;80;;;;;
0175;FILTRO PB 50;42;8;1;;2;70;;;;;
0176;FILTRO ACEITE LFP 734;90;3;1;;2;150;;;;;
0177;FILTRO ACEITE LFP 805 / 10031;48;2;1;;2;80;;;;;
0178;FILTRO ACEITE LFP 3307;81;4;1;;2;135;;;;;
0179;FILTRO ACEITE LFP 947;117;5;1;;2;195;;;;;
0180;FILTRO ACEITE LFP 5010;90;5;1;;2;150;;;;;
0181;FILTRO ACEITE LFP 5971;45;6;1;;2;75;;;;;
0182;FILTRO DIESEL LFF 8932;66;6;1;;4;110;;;;;
0183;FILTRO DIESEL LFF 8933;60;5;1;;4;100;;;;;
0184;FILTRO ACEITE LFP 5127;90;3;1;;2;150;;;;;
0185;FILTRO DIESEL G 2920;66;10;1;;4;110;;;;;
0186;FILTRO DIESEL FP 941F;66;4;1;;4;110;;;;;
0187;FILTRO DIESEL 23390-OL010 / PFBS041;66;6;1;;4;110;;;;;
0188;FILTRO DIESEL 23390-OL070;60;7;1;;4;100;;;;;
0189;FILTRO DIESEL FF-PP 979/3;96;6;1;;4;160;;;;;
0190;FILTRO DIESEL FF-PP 979/4;132;5;1;;4;220;;;;;
0191;FILTRO DIESEL FF-PP 979/2;120;4;1;;4;200;;;;;
0192;FILTRO DIESEL 23390-OL050;66;4;1;;4;110;;;;;
0193;FILTRO ACEITE 8-97358720-0 / PLBS 059 / WL 10087;48;5;1;;2;80;;;;;
0194;FILTRO ACEITE 8-97309927-0 / 51361;42;5;1;;2;70;;;;;
0195;FILTRO ACEITE ISUZU 8-98165071-0;90;5;1;;2;150;;;;;
0196;FILTRO DIESEL ISUZU  8-98159693-0 ;219;6;1;;4;365;;;;;
0197;FILTRO DIESEL TAMPA DE AGUA ISUZU 5-87615024-0;180;7;1;;4;300;;;;;
0198;FILTRO DIESEL 10225;96;4;1;;4;160;;;;;
0199;FILTRO DIESEL FP 570F / 33395;66;3;1;;4;110;;;;;
0200;FILTRO DIESEL FP 587F;66;5;1;;4;110;;;;;
0201;FILTRO DIESEL FP 588F / 33386;60;6;1;;4;100;;;;;
0202;FILTRO ACEITE 57186;39;5;1;;2;65;;;;;
0203;FILTRO ACEITE 57041;51;5;1;;2;85;;;;;
0204;FILTRO ACEITE LFP 2286;87;3;1;;2;145;;;;;
0205;FILTRO ACEITE CON BASE LF 2016 / 57312;108;2;1;;2;180;;;;;
0206;FILTRO ACEITE OM 653;54;2;1;;2;90;;;;;
